candidate_type,dataset,SITE_SOURCE_ID_1,SITE_NAME_1,LONGITUDE_1,LATITUDE_1,SITE_SOURCE_ID_2,SITE_NAME_2,LONGITUDE_2,LATITUDE_2,notes
cross_dataset_same_coords,V3+V4,98291195-46f5-4b8c-bf12-7daa60989dff,Gua Kassi,119.594167,-4.836111,98291195-46f5-4b8c-bf12-7daa60989dff, Gua Kassi                         ,119.594167,-4.836111,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,e4c1d6db-2f48-4574-abf5-a0dba70d5512,Gua Lambuto,119.588333,-4.834167,e4c1d6db-2f48-4574-abf5-a0dba70d5512, Gua Lambuto                       ,119.588333,-4.834167,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,197c8e95-b57f-47cd-844c-217330e4783f,Gua Lamperajang,119.598333,-4.856667,197c8e95-b57f-47cd-844c-217330e4783f, Gua Lamperajang                   ,119.598333,-4.856667,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,cfb3f519-c68f-454a-acb9-140dca658895,Gua Lesang,119.5825,-4.830556,cfb3f519-c68f-454a-acb9-140dca658895, Gua Lesang                        ,119.5825,-4.830556,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,fdfd25e3-a006-465d-9584-e38636a182e5,Gua Limbubuka,119.582222,-4.830556,fdfd25e3-a006-465d-9584-e38636a182e5, Gua Limbubuka                     ,119.582222,-4.830556,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,fd9f9f2a-06ff-49b3-a1aa-379967f80ac6,Gua Lompoa,119.593056,-4.835556,fd9f9f2a-06ff-49b3-a1aa-379967f80ac6, Gua Lompoa                        ,119.593056,-4.835556,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,fd9f9f2a-06ff-49b3-a1aa-379967f80ac6,Gua Lompoa,119.593056,-4.835556,224d8954-0236-4430-b854-26597dc525e3, Leang Lompoa                      ,119.593056,-4.835556,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,db6551f9-a756-45df-b6e4-e12752da6e6f,Gua Pattenungan,119.596667,-4.836944,db6551f9-a756-45df-b6e4-e12752da6e6f, Gua Pattenungan                   ,119.596667,-4.836944,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,b662159a-ac7e-4e17-9d1c-9e972b53a4dd,Gua Sakapao,119.602222,-4.834167,b662159a-ac7e-4e17-9d1c-9e972b53a4dd, Gua Sakapao                       ,119.602222,-4.834167,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,824fb9d5-3058-40e8-9991-d5bb07156218,Gua Sapiria,119.597222,-4.849722,824fb9d5-3058-40e8-9991-d5bb07156218, Gua Sapiria                       ,119.597222,-4.849722,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,0abaa301-9441-4f48-ae05-ae6c7fe97761,Gua Sassang,119.595,-4.846667,0abaa301-9441-4f48-ae05-ae6c7fe97761, Gua Sassang                       ,119.595,-4.846667,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,200a47a8-e9c0-4d23-8e0a-7cb7b6096c27,Gua Tanarajae,119.596667,-4.8375,200a47a8-e9c0-4d23-8e0a-7cb7b6096c27, Gua Tanarajae                     ,119.596667,-4.8375,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,43963a71-1737-4a6c-ab45-03f37b633a84,Gua Tinggia,119.586667,-4.83,43963a71-1737-4a6c-ab45-03f37b633a84, Gua Tinggia                       ,119.586667,-4.83,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,d993c573-b4a1-4183-83c7-0419cf1f2403,Gua Tuka,119.5825,-4.8275,d993c573-b4a1-4183-83c7-0419cf1f2403, Gua Tuka                          ,119.5825,-4.8275,Same coordinates across datasets
